ID,keyword,year,result_text,Timestamp
1076,ISL News,2024,More results,2024-04-19 08:39:42
1077,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:39:42
1078,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:39:42
1079,ISL News,2024,Guided Search Filters,2024-04-19 08:39:42
1080,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:39:42
1081,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | MW 22 | ISL ...,2024-04-19 08:39:42
1082,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:39:42
1083,ISL News,2024,,2024-04-19 08:39:42
1084,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:39:42
1085,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:39:42
1086,ISL News,2024,More results,2024-04-19 08:39:42
1087,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:39:42
1088,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:39:42
1089,ISL News,2024,Guided Search Filters,2024-04-19 08:39:42
1090,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:39:42
1091,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | MW 22 | ISL ...,2024-04-19 08:39:42
1092,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:39:42
1093,ISL News,2024,,2024-04-19 08:39:42
1094,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:39:42
1095,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:39:42
1096,ISL News,2024,More results,2024-04-19 08:39:42
1097,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:39:42
1098,ISL News,2024,,2024-04-19 08:40:23
1099,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:40:23
1100,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:40:23
1101,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:40:23
1102,ISL News,2024,More results,2024-04-19 08:40:23
1103,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:40:23
1104,ISL News,2024,Guided Search Filters,2024-04-19 08:40:23
1105,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:40:23
1106,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:40:23
